id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fixtures_played,fixtures_not_played,form,avg_pts/fixture,avg_pts/fixture_played,MeanAbsDev(form),MeanAbsDev(avg_pts/fixture),MeanAbsDev(avg_pts/fixture_played),xPts,fplAdv_nxtGWs,^fplAdv*xPts,defAdv_nxtGWs,^defAdv*xPts,attAdv_nxtGWs,^attAdv*xPts,^avgAdv*xPts,#OfMatches_nxtGWs,gw8Pts,tot_aPts,(tot_aPts)-(^avgAdv*xPts),nxtGWsPtsTrend
110,Yoane,Wissa,FWD,BRE,3↓,"Wissa (FWD, 3↓)",28,4,3,0.0,4.0,7.0,0.0,4.0,2.5,1.527864045,1,0.0,0,0.0,-3,0.0,0.0,1,1,1,1.0,~
95,Mathias,Jensen,MID,BRE,~,"Jensen (MID, ~)",9,3,4,0.0,1.28571428571,3.0,0.0,1.55102040816,2.0,0.49109915732,1,0.0,0,0.0,-3,0.0,0.0,1,0,0,0.0,~
102,Frank,Onyeka,MID,BRE,~,"Onyeka (MID, ~)",2,2,5,0.0,0.28571428571,1.0,0.0,0.40816326531,0.0,0.10913314607,1,0.0,0,0.0,-3,0.0,0.0,1,0,0,0.0,~
100,Ben,Mee,DEF,BRE,~,"Mee (DEF, ~)",1,1,6,0.0,0.14285714286,1.0,0.0,0.24489795918,0.0,0.05456657304,1,0.0,1,0.0,0,0.0,0.0,1,0,0,0.0,~
87,Ethan,Brierley,MID,BRE,~,"Brierley (MID, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,-3,0.0,0.0,1,0,0,0.0,~
90,Josh,Dasilva,MID,BRE,~,"Dasilva (MID, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,-3,0.0,0.0,1,0,0,0.0,~
92,Rico,Henry,DEF,BRE,~,"Henry (DEF, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,1,0,0,0.0,~
93,Aaron,Hickey,DEF,BRE,~,"Hickey (DEF, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,1,0,0,0.0,~
96,Kim,Ji-soo,DEF,BRE,~,"Ji-soo (DEF, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,1,0,0,0.0,~
103,Myles,Peart-Harris,MID,BRE,~,"Peart-Harris (MID, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,-3,0.0,0.0,1,0,0,0.0,~
107,Igor Thiago,Nascimento Rodrigues,FWD,BRE,~,"Thiago (FWD, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,-3,0.0,0.0,1,0,0,0.0,~
108,Ivan,Toney,FWD,BRE,~,"Toney (FWD, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,-3,0.0,0.0,1,0,0,0.0,~
109,Hákon,Valdimarsson,GKP,BRE,~,"Valdimarsson (GKP, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,1,0,0,0.0,~
112,Mathias,Jorgensen,DEF,BRE,~,"Zanka (DEF, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,1,0,0,0.0,~
634,Gustavo,Nunes Fernandes Gomes,MID,BRE,~,"G.Nunes (MID, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,-3,0.0,0.0,1,0,0,0.0,~
649,Jayden,Meghoma,DEF,BRE,~,"Meghoma (DEF, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0,0.0,0.0,1,0,0,0.0,~
661,Tony,Yogane,MID,BRE,~,"Yogane (MID, ~)",0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,-3,0.0,0.0,1,0,0,0.0,~
182,Cole,Palmer,MID,CHE,1↓,"Palmer (MID, 1↓)",67,7,0,13.0,9.57142857143,9.571428571428571,8.0,6.5306122449,6.5306122449,11.69040224714,0,13.0,0,0.0,0,13.0,13.0,1,2,2,-11.0,5↓
180,Nicolas,Jackson,FWD,CHE,2↓,"N.Jackson (FWD, 2↓)",42,7,0,7.666666666666667,6.0,6.0,5.55555555556,4.0,4.0,7.03005664792,0,7.666666666666667,0,0.0,0,7.666666666666667,7.66666666667,1,6,6,-1.6666666666700003,2↓
177,Noni,Madueke,MID,CHE,4↑,"Madueke (MID, 4↑)",43,6,1,6.0,6.14285714286,7.166666666666667,2.66666666667,5.0612244898,5.22222222222,6.05456657304,0,6.0,0,0.0,0,6.0,6.0,1,2,2,-4.0,3↓
185,Robert,Sánchez,GKP,CHE,~,"Sánchez (GKP, ~)",36,7,0,5.333333333333333,5.14285714286,5.142857142857143,3.11111111111,4.20408163265,4.20408163265,5.26057790262,0,5.333333333333333,-3,4.296296296296666,0,0.0,4.81481481481,1,2,2,-2.81481481481,3↓
386,Jadon,Sancho,MID,CHE,~,"Sancho (MID, ~)",18,4,3,5.0,2.57142857143,4.5,2.66666666667,2.36734693878,2.25,4.07236825839,0,5.0,0,0.0,0,5.0,5.0,1,1,1,-4.0,3↓
162,Levi,Colwill,DEF,CHE,1↓,"Colwill (DEF, 1↓)",18,7,0,3.0,2.57142857143,2.571428571428572,2.66666666667,1.95918367347,1.95918367347,2.83630028089,0,3.0,-3,2.11111111111,0,0.0,2.55555555556,1,1,1,-1.5555555555599998,1↓
157,Moisés,Caicedo Corozo,MID,CHE,1↓,"Caicedo (MID, 1↓)",17,7,0,3.0,2.42857142857,2.4285714285714284,2.0,1.18367346939,1.18367346939,2.78173370786,0,3.0,0,0.0,0,3.0,3.0,1,5,5,2.0,2↑
