id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,fplAdv_nxtGWs,fplAdv*xPts,defAdv_nxtGWs,defAdv*xPts,attAdv_nxtGWs,attAdv*xPts,avgAdv*xPts,#OfMatches_nxtGWs,tot_xPts,gw6Pts,gw7Pts,gw8Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
56,Morgan,Sanson,MID,AVL,0,?,"Sanson (MID, ?)",0.0,0.0,0.0,1,0.0,0,0.0,3,0.0,0.0,3,0.0,0,0,0,0,,?
57,Viljami,Sinisalo,GKP,AVL,0,?,"Sinisalo (GKP, ?)",0.0,0.0,0.0,1,0.0,0,0.0,3,0.0,0.0,3,0.0,0,0,0,0,,?
61,Wesley,Moraes Ferreira da Silva,FWD,AVL,0,?,"Wesley (FWD, ?)",0.0,0.0,0.0,1,0.0,0,0.0,3,0.0,0.0,3,0.0,0,0,0,0,,?
618,Omari,Kellyman,MID,AVL,0,?,"Kellyman (MID, ?)",0.0,0.0,0.0,1,0.0,0,0.0,3,0.0,0.0,3,0.0,0,0,0,0,,?
670,Filip,Marschall,GKP,AVL,0,?,"Marschall (GKP, ?)",0.0,0.0,0.0,1,0.0,0,0.0,3,0.0,0.0,3,0.0,0,0,0,0,,?
686,Oliwier,Zych,GKP,AVL,0,?,"Zych (GKP, ?)",0.0,0.0,0.0,1,0.0,0,0.0,3,0.0,0.0,3,0.0,0,0,0,0,,?
699,Clément,Lenglet,DEF,AVL,0,?,"Lenglet (DEF, ?)",0.0,0.0,0.0,1,0.0,0,0.0,3,0.0,0.0,3,0.0,0,0,0,0,,?
134,Pascal,Groß,MID,BHA,26,?,"Gross (MID, ?)",5.2,7.7,6.033,5,30.165000000000003,-4,0.0,5,30.165000000000003,30.165000000000003,3,18.099,0,0,2,2,0.1105,vv
132,Evan,Ferguson,FWD,BHA,26,?,"Ferguson (FWD, ?)",5.2,6.7,5.7,5,28.5,-4,0.0,5,28.5,28.5,3,17.1,1,1,1,3,0.17544,vv
133,Billy,Gilmour,MID,BHA,16,?,"Gilmour (MID, ?)",3.2,4.3,3.567,5,17.835,-4,0.0,5,17.835,17.835,3,10.701,6,2,0,8,0.74759,~
135,João Pedro,Junqueira de Jesus,FWD,BHA,17,?,"João Pedro (FWD, ?)",3.4,3.3,3.367,5,16.835,-4,0.0,5,16.835,16.835,3,10.101,1,4,2,7,0.693,~
143,Kaoru,Mitoma,MID,BHA,25,?,"Mitoma (MID, ?)",5.0,2.7,4.233,5,21.165,-4,0.0,5,21.165,21.165,3,12.699,14,1,2,17,1.33869,~
154,Danny,Welbeck,FWD,BHA,11,?,"Welbeck (FWD, ?)",2.8,2.7,2.767,5,13.835,-4,0.0,5,13.835,13.835,3,8.301,2,0,1,3,0.3614,vv
151,Joël,Veltman,DEF,BHA,10,?,"Veltman (DEF, ?)",2.0,2.7,2.233,5,11.165,-4,-1.7913121361397222,5,0.0,4.68684393193014,3,6.699,1,-1,1,1,0.14928,vv
139,Tariq,Lamptey,DEF,BHA,7,?,"Lamptey (DEF, ?)",3.5,2.3,3.1,5,15.5,-4,-1.2903225806451613,5,0.0,7.104838709677419,3,9.3,1,0,0,1,0.10753,vv
