id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fixtures_played,fixtures_not_played,std_form,form,MeanAbsDev(form),med_form,MedAbsDev(form),std_pts_dev,avg_pts/fixture,MeanAbsDev(avg_pts/fixture),med_pts,MedAbsDev(pts),std_pts_dev_played,avg_pts/fixture_played,MeanAbsDev(avg_pts/fixture_played),med_pts_played,MedAbsDev(pts_played),xPts,fplAdv_nxtGWs,^fplAdv*xPts,defAdv_nxtGWs,^defAdv*xPts,attAdv_nxtGWs,^attAdv*xPts,^avgAdv*xPts,#OfMatches_nxtGWs,gw9Pts,tot_aPts,(tot_aPts)-(^avgAdv*xPts),nxtGWsPtsTrend
564,Santiago,Bueno,DEF,WOL,?,"S.Bueno (DEF, ?)",2,3,5,0.4714045207910317,0.6666666666666666,0.4444444444444445,1.0,0.0,0.4330127018922193,0.25,0.375,0.0,0.0,0.4714045207910317,0.6666666666666666,0.4444444444444445,1.0,0.0,0.50751416198,-7,0.3209876543209876,-7,0.3209876543209876,0,0.0,0.32098765432,1,0,0,0,?
567,Toti António,Gomes,DEF,WOL,?,"Toti (DEF, ?)",4,6,2,0.4714045207910317,0.3333333333333333,0.4444444444444444,0.0,0.0,0.7071067811865476,0.5,0.625,0.0,0.0,0.74535599249993,0.6666666666666666,0.6666666666666666,0.5,0.5,0.39699433521,-7,-0.012345679012345678,-7,-0.012345679012345678,0,0.0,-0.01234567901,1,0,0,0,?
542,Craig,Dawson,DEF,WOL,?,"Dawson (DEF, ?)",6,7,1,0.816496580927726,0.0,0.6666666666666666,0.0,1.0,0.82915619758885,0.75,0.625,1.0,0.0,0.8329931278350429,0.8571428571428571,0.5306122448979592,1.0,0.0,0.28647450844,-7,-0.5185185185185185,-7,-0.5185185185185185,0,0.0,-0.51851851852,1,0,0,0,?
563,Rodrigo,Martins Gomes,MID,WOL,?,"R.Gomes (MID, ?)",4,3,5,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.5,0.625,0.0,0.0,0.4714045207910317,1.3333333333333333,0.4444444444444444,1.0,0.0,0.19098300563,-7,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
558,Yerson,Mosquera,DEF,WOL,?,"Mosquera (DEF, ?)",3,5,3,0.0,0.0,0.0,0.0,0.0,1.1110243021644486,0.375,0.875,0.5,0.5,1.3564659966250538,0.6,1.0400000000000003,1.0,0.0,0.14323725422,-7,0.0,-7,0.0,0,0.0,0.0,1,0,0,0,?
543,Matt,Doherty,DEF,WOL,?,"Doherty (DEF, ?)",2,4,4,0.0,0.0,0.0,0.0,0.0,0.6614378277661477,0.25,0.5625,0.0,0.5,0.8660254037844386,0.5,0.75,1.0,0.0,0.09549150281,-7,0.0,-7,0.0,0,0.0,0.0,1,0,0,0,?
562,Daniel,Castelo Podence,MID,WOL,?,"Podence (MID, ?)",2,2,6,0.0,0.0,0.0,0.0,0.0,0.4330127018922193,0.25,0.375,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.09549150281,-7,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
537,Francisco Jorge,Tomás Oliveira,MID,WOL,?,"Chiquinho (MID, ?)",1,1,7,0.0,0.0,0.0,0.0,0.0,0.33071891388307384,0.125,0.21875,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.04774575141,-7,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
534,Boubacar,Traoré,MID,WOL,?,"B.Traore (MID, ?)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
536,Daniel,Bentley,GKP,WOL,?,"Bentley (GKP, ?)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7,0.0,-7,0.0,0,0.0,0.0,1,0,0,0,?
