id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,#OfMatches_nxtGWs,tot_xPts,gw31Pts,gw32Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
551,Zidane,Iqbal,MID,MUN,0,?,Iqbal (MID),0.0,0.0,0.0,1,0.0,0,0,0,,?
615,Matej,Kovár,GKP,MUN,0,?,Kovár (GKP),0.0,0.0,0.0,1,0.0,0,0,0,,?
656,Nathan,Bishop,GKP,MUN,0,?,Bishop (GKP),0.0,0.0,0.0,1,0.0,0,0,0,,?
660,Shola,Shoretire,FWD,MUN,0,?,Shoretire (FWD),0.0,0.0,0.0,1,0.0,0,0,0,,?
674,Rhys,Bennett,DEF,MUN,0,?,Bennett (DEF),0.0,0.0,0.0,1,0.0,0,0,0,,?
594,Alexander,Isak,FWD,NEW,65,?,Isak (FWD),5.0,6.5,5.5,2,11.0,2,13,15,1.36364,~
356,Callum,Wilson,FWD,NEW,97,?,Wilson (FWD),4.4,5.8,4.867,2,9.734,1,5,6,0.6164,v
376,Nick,Pope,GKP,NEW,130,?,Pope (GKP),4.5,5.2,4.733,2,9.466,2,2,4,0.42256,v
371,Joelinton Cássio,Apolinário de Lira,MID,NEW,85,?,Joelinton (MID),3.4,5.2,4.0,2,8.0,2,12,14,1.75,^^
373,Joe,Willock,MID,NEW,100,?,Willock (MID),3.6,5.0,4.067,2,8.134,2,5,7,0.86059,~
357,Kieran,Trippier,DEF,NEW,170,?,Trippier (DEF),5.9,4.5,5.433,2,10.866,1,2,3,0.27609,vv
366,Fabian,Schär,DEF,NEW,119,?,Schär (DEF),4.4,3.8,4.2,2,8.4,0,8,8,0.95238,~
377,Sven,Botman,DEF,NEW,104,?,Botman (DEF),3.9,3.0,3.6,2,7.2,1,2,3,0.41667,v
374,Bruno,Guimarães Rodriguez Moura,MID,NEW,81,?,Bruno Guimarães (MID),3.5,3.0,3.333,2,6.666,2,2,4,0.60006,v
368,Allan,Saint-Maximin,MID,NEW,60,?,Saint-Maximin (MID),3.0,3.0,3.0,2,6.0,0,0,0,0.0,vv
358,Dan,Burn,DEF,NEW,105,?,Burn (DEF),3.6,2.8,3.333,2,6.666,1,2,3,0.45005,v
365,Jacob,Murphy,MID,NEW,52,?,Murphy (MID),1.8,2.8,2.133,2,4.266,1,13,14,3.28176,^^^
370,Sean,Longstaff,MID,NEW,81,?,S.Longstaff (MID),2.8,2.0,2.533,2,5.066,1,5,6,1.18437,~
