id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,^fplAdv*xPts,^defAdv*xPts,^attAdv*xPts,^avgAdv*xPts,fplAdv_nxtGWs,defAdv_nxtGWs,attAdv_nxtGWs,#OfMatches_nxtGWs,tot_xPts,gw24Pts,gw25Pts,gw26Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
447,Morgan,Gibbs-White,MID,NFO,70,~,"Gibbs-White (MID, ~)",3.2,1.3,2.4742,2.199288888888889,0.0,2.0618333333333334,2.13056,-11,0,-12,3,7.4226,4,2,7,13,1.75141,^^
696,Murillo,Santiago Costa dos Santos,DEF,NFO,34,~,"Murillo (DEF, ~)",2.0,1.3,1.7326,1.5400888888888888,1.3475777777777778,0.0,1.44383,-11,-13,0,3,5.1978,1,6,-1,6,1.15433,~
467,Neco,Williams,DEF,NFO,21,^,"Williams (DEF, ^)",1.5,1.3,1.4236,1.2654222222222222,1.1072444444444445,0.0,1.18633,-11,-13,0,3,4.2708,1,5,0,6,1.40489,^
470,Ryan,Yates,MID,NFO,28,~,"Yates (MID, ~)",1.4,1.3,1.3618,1.210488888888889,0.0,1.1348333333333334,1.17266,-11,0,-12,3,4.0854,2,1,1,4,0.9791,~
378,Anthony,Elanga,MID,NFO,79,~,"Elanga (MID, ~)",3.6,1.0,2.6068,2.3171555555555554,0.0,2.172333333333333,2.24474,-11,0,-12,3,7.8204,7,6,2,15,1.91806,^^
453,Orel,Mangala,MID,NFO,40,vv,"Mangala (MID, vv)",2.0,1.0,1.618,1.4382222222222223,0.0,1.3483333333333334,1.39328,-11,0,-12,3,4.854,0,0,0,0,0.0,vv
711,Andrew,Omobamidele,DEF,NFO,3,~,"Omobamidele (DEF, ~)",1.0,1.0,1.0,0.8888888888888888,0.7777777777777778,0.0,0.83333,-11,-13,0,3,3.0,0,1,1,2,0.66667,~
801,Giovanni,Reyna,MID,NFO,1,^^^,"Reyna (MID, ^^^)",1.0,1.0,1.0,0.8888888888888888,0.0,0.8333333333333333,0.86111,-11,0,-12,3,3.0,1,0,1,2,0.66667,~
809,Rodrigo,Duarte Ribeiro,FWD,NFO,1,^^^,"Ribeiro (FWD, ^^^)",1.0,1.0,1.0,0.8888888888888888,0.0,0.8333333333333333,0.86111,-11,0,-12,3,3.0,0,0,0,0,0.0,vv
23,Nuno,Varela Tavares,DEF,NFO,3,^^^,"Tavares (DEF, ^^^)",0.6,1.0,0.7528,0.6691555555555555,0.5855111111111111,0.0,0.62733,-11,-13,0,3,2.2584,1,6,0,7,3.09954,^^^
28,Matt,Turner,GKP,NFO,42,vv,"Turner (GKP, vv)",2.5,0.7,1.8124,1.611022222222222,1.4096444444444445,0.0,1.51033,-11,-13,0,3,5.4372,0,0,0,0,0.0,vv
