id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,pts/match,form,xPts,avgPtsDev,fplAdv_nxtGWs,^fplAdv*xPts,defAdv_nxtGWs,^defAdv*xPts,attAdv_nxtGWs,^attAdv*xPts,^avgAdv*xPts,#OfMatches_nxtGWs,gw7Pts,tot_aPts,(tot_aPts)-(^avgAdv*xPts),nxtGWsPtsTrend
257,Kenny,Tete,DEF,FUL,3↑,"Tete (DEF, 3↑)",14,2.33333333333,2.7,2.47338753746,0.88888888889,0,1.23669376873,-1,1.099283349982222,0,0.0,1.16798855936,1,1,1,-0.1679885593599999,~
10,Reiss,Nelson,MID,FUL,~,"Nelson (MID, ~)",9,1.5,2.7,1.9583592135,1.83333333333,0,0.97917960675,0,0.0,0,0.97917960675,0.97917960675,1,4,4,3.02082039325,3↑
251,Rodrigo,Muniz Carvalho,FWD,FUL,~,"Muniz (FWD, ~)",12,2.0,2.0,2.0,0.66666666667,0,1.0,0,0.0,0,1.0,1.0,1,6,6,5.0,4↑
249,Saša,Lukić,MID,FUL,1↑,"Lukić (MID, 1↑)",9,1.5,1.3,1.42360679775,0.66666666667,0,0.711803398875,0,0.0,0,0.711803398875,0.71180339888,1,2,2,1.2881966011200001,1↑
622,Sander,Berge,MID,FUL,~,"Berge (MID, ~)",4,0.66666666667,1.0,0.79398867042,0.32,0,0.39699433521,0,0.0,0,0.39699433521,0.39699433521,1,2,2,1.60300566479,1↑
245,Issa,Diop,DEF,FUL,~,"Diop (DEF, ~)",8,1.33333333333,0.7,1.09142152621,0.66666666667,0,0.545710763105,-1,0.4850762338711111,0,0.0,0.51539349849,1,0,0,-0.51539349849,~
254,Harrison,Reed,MID,FUL,~,"Reed (MID, ~)",4,0.66666666667,0.3,0.52661246254,0.44444444444,0,0.26330623127,0,0.0,0,0.26330623127,0.26330623127,1,0,0,-0.26330623127,~
243,Tom,Cairney,MID,FUL,~,"Cairney (MID, ~)",2,0.33333333333,0.3,0.32060113296,0.44444444444,0,0.16030056648,0,0.0,0,0.16030056648,0.16030056648,1,1,1,0.83969943352,~
259,Harry,Wilson,MID,FUL,~,"Wilson (MID, ~)",2,0.33333333333,0.0,0.20601132958,0.44444444444,0,0.10300566479,0,0.0,0,0.10300566479,0.10300566479,1,0,0,-0.10300566479,~
256,Jay,Stansfield,FWD,FUL,~,"Stansfield (FWD, ~)",1,0.16666666667,0.0,0.10300566479,0.27777777778,0,0.051502832395,0,0.0,0,0.051502832395,0.0515028324,1,0,0,-0.0515028324,~
242,Steven,Benda,GKP,FUL,~,"Benda (GKP, ~)",0,0.0,0.0,0.0,0.0,0,0.0,-1,0.0,0,0.0,0.0,1,0,0,0.0,~
244,Timothy,Castagne,DEF,FUL,~,"Castagne (DEF, ~)",0,0.0,0.0,0.0,0.0,0,0.0,-1,0.0,0,0.0,0.0,1,1,1,1.0,~
246,Luke,Harris,MID,FUL,~,"Harris (MID, ~)",0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,~
250,Kevin,Mbabu,DEF,FUL,~,"Mbabu (DEF, ~)",0,0.0,0.0,0.0,0.0,0,0.0,-1,0.0,0,0.0,0.0,1,0,0,0.0,~
253,Tim,Ream,DEF,FUL,~,"Ream (DEF, ~)",0,0.0,0.0,0.0,0.0,0,0.0,-1,0.0,0,0.0,0.0,1,0,0,0.0,~
258,Carlos Vinícius,Alves Morais,FWD,FUL,~,"Vinicius (FWD, ~)",0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,~
579,Ryan,Sessegnon,DEF,FUL,~,"Sessegnon (DEF, ~)",0,0.0,0.0,0.0,0.0,0,0.0,-1,0.0,0,0.0,0.0,1,0,0,0.0,~
586,Jorge,Cuenca Barreno,DEF,FUL,~,"J.Cuenca (DEF, ~)",0,0.0,0.0,0.0,0.0,0,0.0,-1,0.0,0,0.0,0.0,1,0,0,0.0,~
604,Josh,King,MID,FUL,~,"King (MID, ~)",0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,~
605,Martial,Godo,MID,FUL,~,"Godo (MID, ~)",0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,0,0,0.0,~
268,Liam,Delap,FWD,IPS,6↑,"Delap (FWD, 6↑)",25,4.16666666667,4.7,4.37038187267,3.55555555556,1,2.427989929261112,0,0.0,-2,1.699592950482778,2.06379143987,1,6,6,3.93620856013,3↑
568,Arijanet,Muric,GKP,IPS,~,"Muric (GKP, ~)",17,2.83333333333,4.7,3.54633655433,2.77777777778,1,1.9701869746277776,2,2.167205672090556,0,0.0,2.06869632336,1,2,2,-0.0686963233600002,~
278,Sam,Morsy,MID,IPS,~,"Morsy (MID, ~)",16,2.66666666667,4.0,3.17595468167,2.11111111111,1,1.7644192675944446,0,0.0,-2,1.235093487316111,1.49975637746,1,2,2,0.50024362254,~
