id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,fplAdv_nxtGWs,fplAdv*xPts,defAdv_nxtGWs,defAdv*xPts,attAdv_nxtGWs,attAdv*xPts,avgAdv*xPts,#OfMatches_nxtGWs,tot_xPts,gw3Pts,gw4Pts,gw5Pts,gw6Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
35,Emiliano,Buendía Stati,MID,AVL,0,?,"Buendia (MID, ?)",0.0,0.0,0.0,11,0.0,6,0.0,9,0.0,0.0,4,0.0,0,0,0,0,0,0,?
37,Calum,Chambers,DEF,AVL,0,?,"Chambers (DEF, ?)",0.0,0.0,0.0,11,0.0,6,0.0,9,0.0,0.0,4,0.0,0,0,0,0,0,0,?
39,Keinan,Davis,FWD,AVL,0,?,"Davis (FWD, ?)",0.0,0.0,0.0,11,0.0,6,0.0,9,0.0,0.0,4,0.0,0,0,0,0,0,0,?
40,Leander,Dendoncker,MID,AVL,0,?,"Dendoncker (MID, ?)",0.0,0.0,0.0,11,0.0,6,0.0,9,0.0,0.0,4,0.0,0,0,0,0,0,0,?
45,Kortney,Hause,DEF,AVL,0,?,"Hause (DEF, ?)",0.0,0.0,0.0,11,0.0,6,0.0,9,0.0,0.0,4,0.0,0,0,0,0,0,0,?
46,Tim,Iroegbunam,MID,AVL,0,?,"Iroegbunam (MID, ?)",0.0,0.0,0.0,11,0.0,6,0.0,9,0.0,0.0,4,0.0,0,0,0,0,0,0,?
51,Tyrone,Mings,DEF,AVL,0,?,"Mings (DEF, ?)",0.0,0.0,0.0,11,0.0,6,0.0,9,0.0,0.0,4,0.0,0,0,0,0,0,0,?
53,Robin,Olsen,GKP,AVL,0,?,"Olsen (GKP, ?)",0.0,0.0,0.0,11,0.0,6,0.0,9,0.0,0.0,4,0.0,0,0,0,0,0,0,?
55,Jacob,Ramsey,MID,AVL,0,?,"J.Ramsey (MID, ?)",0.0,0.0,0.0,11,0.0,6,0.0,9,0.0,0.0,4,0.0,0,0,0,0,0,0,?
56,Morgan,Sanson,MID,AVL,0,?,"Sanson (MID, ?)",0.0,0.0,0.0,11,0.0,6,0.0,9,0.0,0.0,4,0.0,0,0,0,0,0,0,?
57,Viljami,Sinisalo,GKP,AVL,0,?,"Sinisalo (GKP, ?)",0.0,0.0,0.0,11,0.0,6,0.0,9,0.0,0.0,4,0.0,0,0,0,0,0,0,?
59,Bertrand,Traoré,MID,AVL,0,?,"Bertrand Traoré (MID, ?)",0.0,0.0,0.0,11,0.0,6,0.0,9,0.0,0.0,4,0.0,0,0,0,0,0,0,?
61,Wesley,Moraes Ferreira da Silva,FWD,AVL,0,?,"Wesley (FWD, ?)",0.0,0.0,0.0,11,0.0,6,0.0,9,0.0,0.0,4,0.0,0,0,0,0,0,0,?
618,Omari,Kellyman,MID,AVL,0,?,"Kellyman (MID, ?)",0.0,0.0,0.0,11,0.0,6,0.0,9,0.0,0.0,4,0.0,0,0,0,0,0,0,?
670,Filip,Marschall,GKP,AVL,0,?,"Marschall (GKP, ?)",0.0,0.0,0.0,11,0.0,6,0.0,9,0.0,0.0,4,0.0,0,0,0,0,0,0,?
672,Nicolò,Zaniolo,MID,AVL,0,?,"Zaniolo (MID, ?)",0.0,0.0,0.0,11,0.0,6,0.0,9,0.0,0.0,4,0.0,0,0,0,0,0,0,?
140,Solly,March,MID,BHA,24,?,"March (MID, ?)",12.0,12.0,12.0,7,84.0,-2,0.0,8,96.0,90.0,4,48.0,0,0,0,0,0,0,?
131,Pervis,Estupiñán,DEF,BHA,18,?,"Estupiñan (DEF, ?)",9.0,9.0,9.0,7,63.0,-2,-0.2222222222222222,8,0.0,31.38888888888889,4,36.0,0,0,0,0,0,0,?
143,Kaoru,Mitoma,MID,BHA,17,?,"Mitoma (MID, ?)",8.5,8.5,8.5,7,59.5,-2,0.0,8,68.0,63.75,4,34.0,0,0,0,0,0,0,?
130,Julio,Enciso,MID,BHA,8,?,"Enciso (MID, ?)",4.0,4.0,4.0,7,28.0,-2,0.0,8,32.0,30.0,4,16.0,0,0,0,0,0,0,?
135,João Pedro,Junqueira de Jesus,FWD,BHA,7,?,"João Pedro (FWD, ?)",3.5,3.5,3.5,7,24.5,-2,0.0,8,28.0,26.25,4,14.0,0,0,0,0,0,0,?
122,Simon,Adingra,MID,BHA,6,?,"Adingra (MID, ?)",6.0,3.0,5.0,7,35.0,-2,0.0,8,40.0,37.5,4,20.0,0,0,0,0,0,0,?
132,Evan,Ferguson,FWD,BHA,6,?,"Ferguson (FWD, ?)",3.0,3.0,3.0,7,21.0,-2,0.0,8,24.0,22.5,4,12.0,0,0,0,0,0,0,?
148,Jason,Steele,GKP,BHA,5,?,"Steele (GKP, ?)",2.5,2.5,2.5,7,17.5,-2,-0.8,8,0.0,8.35,4,10.0,0,0,0,0,0,0,?
128,Mahmoud,Dahoud,MID,BHA,4,?,"Dahoud (MID, ?)",2.0,2.0,2.0,7,14.0,-2,0.0,8,16.0,15.0,4,8.0,0,0,0,0,0,0,?
129,Lewis,Dunk,DEF,BHA,4,?,"Dunk (DEF, ?)",2.0,2.0,2.0,7,14.0,-2,-1.0,8,0.0,6.5,4,8.0,0,0,0,0,0,0,?
133,Billy,Gilmour,MID,BHA,3,?,"Gilmour (MID, ?)",1.5,1.5,1.5,7,10.5,-2,0.0,8,12.0,11.25,4,6.0,0,0,0,0,0,0,?
134,Pascal,Groß,MID,BHA,3,?,"Gross (MID, ?)",1.5,1.5,1.5,7,10.5,-2,0.0,8,12.0,11.25,4,6.0,0,0,0,0,0,0,?
142,James,Milner,MID,BHA,3,?,"Milner (MID, ?)",1.5,1.5,1.5,7,10.5,-2,0.0,8,12.0,11.25,4,6.0,0,0,0,0,0,0,?
