id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,^fplAdv*xPts,^defAdv*xPts,^attAdv*xPts,^avgAdv*xPts,fplAdv_nxtGWs,defAdv_nxtGWs,attAdv_nxtGWs,#OfMatches_nxtGWs,tot_xPts,gw1Pts,gw2Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend
127,Ibrahim,Osman,MID,BHA,0,?,"I.Osman (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0,-3,2,0.0,0,0,0,0,?
130,Kacper,Kozłowski,MID,BHA,0,?,"Kozlowski (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0,-3,2,0.0,0,0,0,0,?
133,Adrian,Mazilu,MID,BHA,0,?,"Mazilu (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0,-3,2,0.0,0,0,0,0,?
135,Yankuba,Minteh,MID,BHA,0,?,"Minteh (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0,-3,2,0.0,0,0,0,0,?
140,Cameron,Peupion,MID,BHA,0,?,"Peupion (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0,-3,2,0.0,0,0,0,0,?
141,Jeremy,Sarmiento Morante,MID,BHA,0,?,"Sarmiento (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0,-3,2,0.0,0,0,0,0,?
143,Deniz,Undav,FWD,BHA,0,?,"Undav (FWD, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0,-3,2,0.0,0,0,0,0,?
149,Mats,Wieffer,MID,BHA,0,?,"Wieffer (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,0,-3,2,0.0,0,0,0,0,?
84,Mark,Travers,GKP,BOU,19,?,"Travers (GKP, ?)",4.8,0.0,2.4,2.2666666666666666,2.2666666666666666,0.0,2.26667,-1,-1,0,2,4.8,0,0,0,0,?
82,Dominic,Solanke-Mitchell,FWD,BOU,175,?,"Solanke (FWD, ?)",4.6,0.0,2.3,2.172222222222222,0.0,2.172222222222222,2.17222,-1,0,-1,2,4.6,0,0,0,0,?
73,Norberto,Murara Neto,GKP,BOU,110,?,"Neto (GKP, ?)",3.4,0.0,1.7,1.6055555555555556,1.6055555555555556,0.0,1.60556,-1,-1,0,2,3.4,0,0,0,0,?
79,Marcos,Senesi,DEF,BOU,102,?,"Senesi (DEF, ?)",3.3,0.0,1.65,1.5583333333333331,1.5583333333333331,0.0,1.55833,-1,-1,0,2,3.3,0,0,0,0,?
78,Antoine,Semenyo,MID,BOU,107,?,"Semenyo (MID, ?)",3.2,0.0,1.6,1.511111111111111,0.0,1.511111111111111,1.51111,-1,0,-1,2,3.2,0,0,0,0,?
71,Justin,Kluivert,MID,BOU,100,?,"Kluivert (MID, ?)",3.1,0.0,1.55,1.4638888888888888,0.0,1.4638888888888888,1.46389,-1,0,-1,2,3.1,0,0,0,0,?
83,Marcus,Tavernier,MID,BOU,89,?,"Tavernier (MID, ?)",3.0,0.0,1.5,1.4166666666666667,0.0,1.4166666666666667,1.41667,-1,0,-1,2,3.0,0,0,0,0,?
81,Adam,Smith,DEF,BOU,80,?,"Smith (DEF, ?)",2.9,0.0,1.45,1.3694444444444445,1.3694444444444445,0.0,1.36944,-1,-1,0,2,2.9,0,0,0,0,?
65,Enes,Ünal,FWD,BOU,40,?,"Enes Ünal (FWD, ?)",2.5,0.0,1.25,1.1805555555555554,0.0,1.1805555555555554,1.18056,-1,0,-1,2,2.5,0,0,0,0,?
63,Ryan,Christie,MID,BOU,90,?,"Christie (MID, ?)",2.4,0.0,1.2,1.1333333333333333,0.0,1.1333333333333333,1.13333,-1,0,-1,2,2.4,0,0,0,0,?
85,Illia,Zabarnyi,DEF,BOU,84,?,"Zabarnyi (DEF, ?)",2.3,0.0,1.15,1.086111111111111,1.086111111111111,0.0,1.08611,-1,-1,0,2,2.3,0,0,0,0,?
64,Lewis,Cook,MID,BOU,77,?,"Cook (MID, ?)",2.3,0.0,1.15,1.086111111111111,0.0,1.086111111111111,1.08611,-1,0,-1,2,2.3,0,0,0,0,?
76,Philip,Billing,MID,BOU,60,?,"Philip (MID, ?)",2.1,0.0,1.05,0.9916666666666667,0.0,0.9916666666666667,0.99167,-1,0,-1,2,2.1,0,0,0,0,?
