id,1st_name,2nd_name,position,team,tot_pts,prvGWsPtsTrend,web_name,pts/game,form,xPts,^fplAdv*xPts,^defAdv*xPts,^attAdv*xPts,^avgAdv*xPts,fplAdv_nxtGWs,defAdv_nxtGWs,attAdv_nxtGWs,#OfMatches_nxtGWs,tot_xPts,gw6Pts,tot_aPts,tot_aPts/tot_xPts,nxtGWsPtsTrend,(tot_aPts)-(^avgAdv*xPts)
116,Valentín,Barco,DEF,BHA,0,?,"Barco (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-1,0,1,0.0,0,0,,~,0.0
118,Amario,Cozier-Duberry,MID,BHA,0,?,"Cozier-Duberry (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0,-1,1,0.0,0,0,,~,0.0
119,Mahmoud,Dahoud,MID,BHA,0,?,"Dahoud (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0,-1,1,0.0,0,0,,~,0.0
125,Pascal,Groß,MID,BHA,0,?,"Gross (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0,-1,1,0.0,0,0,,~,0.0
127,Ibrahim,Osman,MID,BHA,0,?,"I.Osman (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0,-1,1,0.0,0,0,,~,0.0
128,Igor Julio,dos Santos de Paulo,DEF,BHA,0,?,"Igor (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-1,0,1,0.0,1,1,inf,~,1.0
130,Kacper,Kozłowski,MID,BHA,0,?,"Kozlowski (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0,-1,1,0.0,0,0,,~,0.0
131,Tariq,Lamptey,DEF,BHA,0,?,"Lamptey (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-1,0,1,0.0,0,0,,~,0.0
132,Solly,March,MID,BHA,0,?,"March (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0,-1,1,0.0,0,0,,~,0.0
133,Adrian,Mazilu,MID,BHA,0,?,"Mazilu (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0,-1,1,0.0,0,0,,~,0.0
137,Jakub,Moder,MID,BHA,0,?,"Moder (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0,-1,1,0.0,0,0,,~,0.0
138,Mark,O’Mahony,FWD,BHA,0,?,"O’Mahony (FWD, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0,-1,1,0.0,0,0,,~,0.0
139,Odeluga,Offiah,DEF,BHA,0,?,"Offiah (DEF, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-1,0,1,0.0,0,0,,~,0.0
140,Cameron,Peupion,MID,BHA,0,?,"Peupion (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0,-1,1,0.0,0,0,,~,0.0
143,Deniz,Undav,FWD,BHA,0,?,"Undav (FWD, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0,-1,1,0.0,0,0,,~,0.0
595,Brajan,Gruda,MID,BHA,0,?,"Gruda (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0,-1,1,0.0,0,0,,~,0.0
601,Andrew,Moran,MID,BHA,0,?,"Moran (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0,-1,1,0.0,0,0,,~,0.0
615,Carl,Rushworth,GKP,BHA,0,?,"Rushworth (GKP, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,-1,0,1,0.0,0,0,,~,0.0
629,Matt,O'Riley,MID,BHA,0,?,"O'Riley (MID, ?)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0,-1,1,0.0,0,0,,~,0.0
80,Luis,Sinisterra,MID,BOU,16,?,"Sinisterra (MID, ?)",3.2,4.3,3.75,2.291666666666667,0.0,1.875,2.08333333,2,0,0,1,3.75,1,1,0.26666667,1↓,-1.0833333299999999
78,Antoine,Semenyo,MID,BOU,22,?,"Semenyo (MID, ?)",4.4,3.0,3.7,2.2611111111111115,0.0,1.85,2.05555556,2,0,0,1,3.7,7,7,1.89189189,4↑,4.94444444
64,Lewis,Cook,MID,BOU,12,?,"Cook (MID, ?)",2.4,3.0,2.7,1.65,0.0,1.35,1.5,2,0,0,1,2.7,10,10,3.7037037,5↑,8.5
83,Marcus,Tavernier,MID,BOU,18,?,"Tavernier (MID, ?)",3.6,2.3,2.95,1.802777777777778,0.0,1.475,1.63888889,2,0,0,1,2.95,4,4,1.3559322,2↑,2.36111111
152,Kepa,Arrizabalaga,GKP,BOU,7,?,"Arrizabalaga (GKP, ?)",3.5,2.3,2.9,1.7722222222222224,1.7722222222222224,0.0,1.77222222,2,2,0,1,2.9,2,2,0.68965517,~,0.22777778000000004
71,Justin,Kluivert,MID,BOU,10,?,"Kluivert (MID, ?)",2.0,2.3,2.15,1.3138888888888889,0.0,1.075,1.19444444,2,0,0,1,2.15,1,1,0.46511628,~,-0.19444444000000005
81,Adam,Smith,DEF,BOU,10,?,"Smith (DEF, ?)",2.0,2.3,2.15,1.3138888888888889,1.3138888888888889,0.0,1.31388889,2,2,0,1,2.15,2,2,0.93023256,~,0.6861111099999999
74,Dango,Ouattara,MID,BOU,8,?,"O.Dango (MID, ?)",2.0,1.7,1.85,1.1305555555555558,0.0,0.925,1.02777778,2,0,0,1,1.85,8,8,4.32432432,5↑,6.97222222
63,Ryan,Christie,MID,BOU,8,?,"Christie (MID, ?)",1.6,1.7,1.65,1.0083333333333333,0.0,0.825,0.91666667,2,0,0,1,1.65,2,2,1.21212121,1↑,1.0833333299999999
